Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Tue, Dec 1, 2015",7:00p,Washington Wizards,97,Cleveland Cavaliers,85,Box Score,,20562,
"Tue, Dec 1, 2015",7:00p,Los Angeles Lakers,91,Philadelphia 76ers,103,Box Score,,20510,
"Tue, Dec 1, 2015",7:30p,Phoenix Suns,91,Brooklyn Nets,94,Box Score,,12787,
"Tue, Dec 1, 2015",8:00p,Orlando Magic,96,Minnesota Timberwolves,93,Box Score,,10694,
"Tue, Dec 1, 2015",8:00p,Memphis Grizzlies,113,New Orleans Pelicans,104,Box Score,,16020,
"Tue, Dec 1, 2015",10:00p,Dallas Mavericks,115,Portland Trail Blazers,112,Box Score,OT,19393,
"Wed, Dec 2, 2015",7:00p,Golden State Warriors,116,Charlotte Hornets,99,Box Score,,19542,
"Wed, Dec 2, 2015",7:00p,Los Angeles Lakers,108,Washington Wizards,104,Box Score,,20356,
"Wed, Dec 2, 2015",7:30p,Phoenix Suns,122,Detroit Pistons,127,Box Score,OT,13985,
"Wed, Dec 2, 2015",7:30p,Philadelphia 76ers,87,New York Knicks,99,Box Score,,19812,
"Wed, Dec 2, 2015",8:00p,Toronto Raptors,96,Atlanta Hawks,86,Box Score,,12559,
"Wed, Dec 2, 2015",8:00p,Denver Nuggets,90,Chicago Bulls,99,Box Score,,21349,
"Wed, Dec 2, 2015",8:00p,New Orleans Pelicans,101,Houston Rockets,108,Box Score,,17339,
"Wed, Dec 2, 2015",8:30p,Milwaukee Bucks,70,San Antonio Spurs,95,Box Score,,18418,
"Wed, Dec 2, 2015",10:30p,Indiana Pacers,103,Los Angeles Clippers,91,Box Score,,19060,
"Thu, Dec 3, 2015",7:00p,Oklahoma City Thunder,95,Miami Heat,97,Box Score,,19600,
"Thu, Dec 3, 2015",7:30p,Denver Nuggets,106,Toronto Raptors,105,Box Score,,19800,
"Thu, Dec 3, 2015",9:00p,Orlando Magic,103,Utah Jazz,94,Box Score,,19247,
"Thu, Dec 3, 2015",9:30p,San Antonio Spurs,103,Memphis Grizzlies,83,Box Score,,17013,
"Thu, Dec 3, 2015",10:00p,Indiana Pacers,111,Portland Trail Blazers,123,Box Score,,19206,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Dec 3, 2015",10:00p,Boston Celtics,114,Sacramento Kings,97,Box Score,,18660,"at Mexico City, Mexico"
"Fri, Dec 4, 2015",7:00p,Brooklyn Nets,91,New York Knicks,108,Box Score,,19812,
"Fri, Dec 4, 2015",7:00p,Phoenix Suns,106,Washington Wizards,109,Box Score,,17255,
