Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Tue, Nov 10, 2015",8:00p,Dallas Mavericks,105,New Orleans Pelicans,120,Box Score,,17128,
"Wed, Nov 11, 2015",7:00p,New York Knicks,93,Charlotte Hornets,95,Box Score,,16643,
"Wed, Nov 11, 2015",7:00p,Los Angeles Lakers,99,Orlando Magic,101,Box Score,,18846,
"Wed, Nov 11, 2015",7:00p,Toronto Raptors,119,Philadelphia 76ers,103,Box Score,,12744,
"Wed, Nov 11, 2015",7:30p,Indiana Pacers,102,Boston Celtics,91,Box Score,,17879,
"Wed, Nov 11, 2015",8:00p,New Orleans Pelicans,98,Atlanta Hawks,106,Box Score,,15597,
"Wed, Nov 11, 2015",8:00p,Los Angeles Clippers,108,Dallas Mavericks,118,Box Score,,19805,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Nov 11, 2015",8:00p,Brooklyn Nets,106,Houston Rockets,98,Box Score,,18155,
"Wed, Nov 11, 2015",8:00p,Golden State Warriors,100,Memphis Grizzlies,84,Box Score,,18119,
"Wed, Nov 11, 2015",9:00p,Milwaukee Bucks,102,Denver Nuggets,103,Box Score,,9403,
"Wed, Nov 11, 2015",10:00p,Detroit Pistons,92,Sacramento Kings,101,Box Score,,17317,
"Wed, Nov 11, 2015",10:30p,San Antonio Spurs,113,Portland Trail Blazers,101,Box Score,,19393,
"Thu, Nov 12, 2015",7:30p,Utah Jazz,91,Miami Heat,92,Box Score,,19600,
"Thu, Nov 12, 2015",8:00p,Golden State Warriors,129,Minnesota Timberwolves,116,Box Score,,16130,
"Thu, Nov 12, 2015",10:30p,Los Angeles Clippers,104,Phoenix Suns,118,Box Score,,17204,
"Fri, Nov 13, 2015",7:00p,Minnesota Timberwolves,103,Indiana Pacers,107,Box Score,,16797,
