Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Wed, Mar 27, 2019",10:00p,Washington Wizards,124,Phoenix Suns,121,Box Score,,16004,
"Wed, Mar 27, 2019",10:30p,Los Angeles Lakers,100,Utah Jazz,115,Box Score,,18306,
"Thu, Mar 28, 2019",7:00p,Orlando Magic,98,Detroit Pistons,115,Box Score,,18128,
"Thu, Mar 28, 2019",7:00p,Brooklyn Nets,110,Philadelphia 76ers,123,Box Score,,20547,
"Thu, Mar 28, 2019",7:30p,Dallas Mavericks,99,Miami Heat,105,Box Score,,19851,
"Thu, Mar 28, 2019",7:30p,Toronto Raptors,117,New York Knicks,92,Box Score,,19812,
"Thu, Mar 28, 2019",8:00p,Denver Nuggets,85,Houston Rockets,112,Box Score,,18055,
"Thu, Mar 28, 2019",8:00p,Los Angeles Clippers,118,Milwaukee Bucks,128,Box Score,,17922,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Mar 28, 2019",8:00p,Sacramento Kings,118,New Orleans Pelicans,121,Box Score,,13976,
"Thu, Mar 28, 2019",8:30p,Cleveland Cavaliers,110,San Antonio Spurs,116,Box Score,,18756,
"Fri, Mar 29, 2019",7:00p,Indiana Pacers,112,Boston Celtics,114,Box Score,,18624,
"Fri, Mar 29, 2019",7:30p,Portland Trail Blazers,118,Atlanta Hawks,98,Box Score,,16182,
"Fri, Mar 29, 2019",8:00p,Golden State Warriors,130,Minnesota Timberwolves,131,Box Score,OT,18978,
"Fri, Mar 29, 2019",8:00p,Denver Nuggets,115,Oklahoma City Thunder,105,Box Score,,18203,
"Fri, Mar 29, 2019",9:00p,Washington Wizards,124,Utah Jazz,128,Box Score,,18306,
"Fri, Mar 29, 2019",10:30p,Charlotte Hornets,115,Los Angeles Lakers,129,Box Score,,18997,
"Sat, Mar 30, 2019",3:30p,Cleveland Cavaliers,108,Los Angeles Clippers,132,Box Score,,16439,
"Sat, Mar 30, 2019",6:00p,Boston Celtics,96,Brooklyn Nets,110,Box Score,,17732,
"Sat, Mar 30, 2019",6:00p,Sacramento Kings,108,Houston Rockets,119,Box Score,,18055,
"Sat, Mar 30, 2019",7:00p,Portland Trail Blazers,90,Detroit Pistons,99,Box Score,,18592,
"Sat, Mar 30, 2019",7:00p,Orlando Magic,121,Indiana Pacers,116,Box Score,,17923,
"Sat, Mar 30, 2019",7:30p,Miami Heat,100,New York Knicks,92,Box Score,,19812,
"Sat, Mar 30, 2019",8:00p,Toronto Raptors,124,Chicago Bulls,101,Box Score,,21238,
"Sat, Mar 30, 2019",8:00p,Philadelphia 76ers,118,Minnesota Timberwolves,109,Box Score,,18978,
"Sat, Mar 30, 2019",10:00p,Memphis Grizzlies,120,Phoenix Suns,115,Box Score,,16647,
"Sun, Mar 31, 2019",12:30p,Milwaukee Bucks,135,Atlanta Hawks,136,Box Score,OT,16660,
"Sun, Mar 31, 2019",3:30p,Dallas Mavericks,106,Oklahoma City Thunder,103,Box Score,,18203,
"Sun, Mar 31, 2019",6:00p,Los Angeles Lakers,130,New Orleans Pelicans,102,Box Score,,18562,
"Sun, Mar 31, 2019",7:00p,Sacramento Kings,113,San Antonio Spurs,106,Box Score,,18407,
"Sun, Mar 31, 2019",8:00p,Washington Wizards,95,Denver Nuggets,90,Box Score,,17356,
"Sun, Mar 31, 2019",8:30p,Charlotte Hornets,90,Golden State Warriors,137,Box Score,,19596,
"Sun, Mar 31, 2019",10:30p,Memphis Grizzlies,96,Los Angeles Clippers,113,Box Score,,16740,
